File name: 1000-40-85
Result: 13406038
Gen 1: 17000038
Gen 2: 16600040
Gen 3: 16600040
Gen 4: 16600040
Gen 5: 16600040
Gen 6: 16600040
Gen 7: 16600040
Gen 8: 16600040
Gen 9: 16600040
Gen 10: 16330040
Gen 11: 16202039
Gen 12: 16202039
Gen 13: 15974040
Gen 14: 15974040
Gen 15: 15974040
Gen 16: 15974040
Gen 17: 15974040
Gen 18: 15758037
Gen 19: 15758037
Gen 20: 15758037
Gen 21: 15725046
Gen 22: 15725046
Gen 23: 15400038
Gen 24: 15400038
Gen 25: 15048038
Gen 26: 15048038
Gen 27: 15048038
Gen 28: 15048038
Gen 29: 15048038
Gen 30: 15048038
Gen 31: 15048038
Gen 32: 15048038
Gen 33: 15048038
Gen 34: 15048038
Gen 35: 15048038
Gen 36: 14999038
Gen 37: 14999038
Gen 38: 14879038
Gen 39: 14879038
Gen 40: 14844040
Gen 41: 14844040
Gen 42: 14844040
Gen 43: 14844040
Gen 44: 14759038
Gen 45: 14759038
Gen 46: 14759038
Gen 47: 14759038
Gen 48: 14719038
Gen 49: 14648038
Gen 50: 14648038
Gen 51: 14648038
Gen 52: 14648038
Gen 53: 14608038
Gen 54: 14608038
Gen 55: 14606038
Gen 56: 14596038
Gen 57: 14411038
Gen 58: 14411038
Gen 59: 14411038
Gen 60: 14411038
Gen 61: 14371038
Gen 62: 14371038
Gen 63: 14371038
Gen 64: 14359038
Gen 65: 14359038
Gen 66: 14239038
Gen 67: 14239038
Gen 68: 14199038
Gen 69: 14199038
Gen 70: 14199038
Gen 71: 14199038
Gen 72: 14199038
Gen 73: 14128038
Gen 74: 14128038
Gen 75: 14088038
Gen 76: 14088038
Gen 77: 14048038
Gen 78: 14048038
Gen 79: 14044038
Gen 80: 14008038
Gen 81: 13971038
Gen 82: 13968038
Gen 83: 13968038
Gen 84: 13928038
Gen 85: 13928038
Gen 86: 13891038
Gen 87: 13891038
Gen 88: 13891038
Gen 89: 13891038
Gen 90: 13851038
Gen 91: 13851038
Gen 92: 13851038
Gen 93: 13851038
Gen 94: 13851038
Gen 95: 13851038
Gen 96: 13851038
Gen 97: 13851038
Gen 98: 13811038
Gen 99: 13811038
Gen 100: 13811038
Gen 101: 13811038
Gen 102: 13808038
Gen 103: 13808038
Gen 104: 13808038
Gen 105: 13691038
Gen 106: 13691038
Gen 107: 13691038
Gen 108: 13611038
Gen 109: 13611038
Gen 110: 13611038
Gen 111: 13611038
Gen 112: 13611038
Gen 113: 13611038
Gen 114: 13611038
Gen 115: 13571038
Gen 116: 13571038
Gen 117: 13571038
Gen 118: 13571038
Gen 119: 13571038
Gen 120: 13571038
Gen 121: 13571038
Gen 122: 13571038
Gen 123: 13571038
Gen 124: 13571038
Gen 125: 13571038
Gen 126: 13571038
Gen 127: 13571038
Gen 128: 13571038
Gen 129: 13571038
Gen 130: 13571038
Gen 131: 13571038
Gen 132: 13566038
Gen 133: 13566038
Gen 134: 13566038
Gen 135: 13531038
Gen 136: 13531038
Gen 137: 13531038
Gen 138: 13531038
Gen 139: 13526038
Gen 140: 13526038
Gen 141: 13526038
Gen 142: 13526038
Gen 143: 13526038
Gen 144: 13526038
Gen 145: 13486038
Gen 146: 13486038
Gen 147: 13486038
Gen 148: 13486038
Gen 149: 13486038
Gen 150: 13486038
Gen 151: 13486038
Gen 152: 13486038
Gen 153: 13446038
Gen 154: 13446038
Gen 155: 13446038
Gen 156: 13446038
Gen 157: 13446038
Gen 158: 13446038
Gen 159: 13446038
Gen 160: 13446038
Gen 161: 13446038
Gen 162: 13446038
Gen 163: 13446038
Gen 164: 13446038
Gen 165: 13446038
Gen 166: 13446038
Gen 167: 13446038
Gen 168: 13446038
Gen 169: 13446038
Gen 170: 13446038
